cntr	ra	dec
1802089401351028516	198.6487147	-89.3491922
2403089401351031701	244.9228473	-89.3491859
3004089401351034906	279.12977	-89.3491674
1802089401351028080	196.933359	-89.3491447
1201089401351030938	123.0379744	-89.3491384
1201089401351033686	92.7512306	-89.3463834
89401351030092	36.7084214	-89.3463788
3004089401351013703	247.2774793	-89.3463046
1802089401351032184	174.4423291	-89.3462826
89401351033023	332.2489322	-89.346281
3004089401351031969	290.858049	-89.3294809
89401351031403	6.375513	-89.329479
2403089401351030468	236.2881387	-89.3294775
89401351033819	333.279474	-89.3294758
600089401351031447	62.0048964	-89.3294745
3004089401351030839	297.062361	-89.3265338
89401351033452	332.3855613	-89.3265293
2403089401351028758	268.1938342	-89.3265101
3004089401351031711	296.070063	-89.3265067
1802089401351033867	161.3804083	-89.3264912
1201089401351032729	94.2152319	-89.3210371
600089401351033165	30.5062878	-89.3210188
1802089401351033173	163.5151508	-89.3209948
1802089401351031040	172.459548	-89.320991
1201089401351033577	92.7864824	-89.3209802
1201089401351027785	148.5434975	-89.2996698
1201089401351032650	98.0097573	-89.2996523
1201089401351031351	114.393045	-89.2996296
2403089401351032696	253.1214755	-89.2996258
2403089401351028875	258.6527934	-89.2996191
3004089401351034148	276.2076194	-89.2941918
3004089401351034910	280.3611515	-89.2941758
89401351032988	346.0920623	-89.2941742
600089401351029457	79.2193998	-89.2941599
2403089401351033594	217.2733079	-89.2941573
89401351032946	340.9542309	-89.2918594
1802089401351031047	168.0944285	-89.2918494
2403089401351028693	254.3912248	-89.2918463
2403089401351034752	219.257891	-89.2918397
1802089401351028385	208.248159	-89.2918377
89401351030032	17.859111	-89.287123
1201089401351030353	111.8057519	-89.287111
1201089401351027584	147.815048	-89.2871092
2403089401351012000	158.8655701	-89.2871081
1201089401351032687	92.5684374	-89.287107
600089401351034160	37.1862859	-89.2821652
2403089401351034072	211.638408	-89.2821626
2403089401351029297	259.6821602	-89.2821554
600089401351031849	60.0274313	-89.2821384
89401351031951	352.1781889	-89.2821374
2403089401351033782	216.6794721	-89.271855
1802089401351031387	192.0933502	-89.2718464
2403089401351031635	246.4041397	-89.2718292
3004089401351033646	280.7786683	-89.2718255
600089401351030585	63.1718929	-89.2717829
2403089401351030495	250.349578	-89.2299285
600089401351030098	62.803064	-89.229902
1802089401351028037	205.6924688	-89.229881
600089401351033267	37.9862589	-89.2298805
1802089401351027622	195.3480525	-89.2298679
1802089401351029387	198.0196583	-89.2003394
1802089401351032040	177.8343384	-89.200328
1802089401351031099	177.5244183	-89.2003206
3004089401351028535	313.4690063	-89.2003163
2403089401351028241	268.2222612	-89.200303
3004089401351032103	289.8468669	-89.1895249
2403089401351032705	249.5679214	-89.1895114
89401351029102	31.2960973	-89.1895076
600089401351028521	81.6564535	-89.1895036
3004089401351033109	281.900346	-89.1894571
2403089401351028438	267.7478539	-89.1850624
3004089401351044527	293.6966616	-89.1850412
2403089401351029586	252.61819	-89.1850152
3004089401351033954	274.177507	-89.1849897
1802089401351045458	183.138979	-89.1849878
